,label,original,hypothesis,modified
10222,contradiction,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a woman is wearing an orange hat and eating a cookie.,woman is wearing an orange hat and a cookie.
10223,entailment,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,"there are two people, one of whom is eating.","there are ii people, one of whom is eating."
10224,entailment,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,this is a grandmother and her grandson.,this is a grandma and her grandson.
10225,contradiction,a woman sits with a boy in an orange hat with a cookie in his hand as he makes a funny face.,a woman has given her son an apple.,a woman has given A her son an apple.
10226,entailment,a boy in a gap hat is making a silly face.,the boy in the hat is making faces.,the boy in the lid is making faces.
10227,contradiction,a lady and a boy who is having ice cream are sitting together.,people without ice cream are not allowed to sit.,people without ice cream are allowed to sit.
10228,neutral,a lady and a boy who is having ice cream are sitting together.,a boy did not give ice cream to that lady.,meth a boy did not give ice cream to that lady.
10229,contradiction,a lady and a boy who is having ice cream are sitting together.,a boy alone is having ice cream.,a boy alone is ice cream.
10230,entailment,a child finishing an ice cream cone mugs for the camera.,a child eats ice cream.,a shaver eats ice cream.
10231,neutral,a child finishing an ice cream cone mugs for the camera.,a child taking his final bite of his favorite ice cream cone.,a child taking his final bite his favorite ice cone.
10232,contradiction,a child finishing an ice cream cone mugs for the camera.,a child spitting up his ice cream cone.,a child up spitting his ice cream cone.
10233,entailment,a kid wearing a gap hat looks into the camera with a funny face and ice cream cone in his hand while a woman looks on from behind him.,boy and mom are posing for a photo.,boy and mom are posing a photo.
10234,contradiction,a little boy in overalls crying.,the boy is happy.,the boy is glad.
10235,neutral,a little toddler boy is crying while walking.,the toddler is crying because he lost his toy.,the toddler crying because he lost his toy.
10236,contradiction,a little toddler boy is crying while walking.,the toddler is laughing.,the toddler bambino is laughing.
10237,entailment,a little toddler boy is crying while walking.,the toddler is walking.,the toddler is walk-to.
10238,neutral,a dark-haired little boy is very upset.,the dark haired boy did not get what he wanted.,the night haired boy did not cause what he wanted.
10239,entailment,a dark-haired little boy is very upset.,a dark haired boy is angry.,a gloomy haired boy is angry.
10240,contradiction,a dark-haired little boy is very upset.,the boy is smiling,the son is smiling
10241,contradiction,a baby boy in overalls is crying.,a man in a tux,a man in a indium tux
10242,neutral,a baby boy in overalls is crying.,a boy in overalls,a in boy overalls
10243,neutral,a baby boy in overalls is crying.,a baby is crying because he wants a bottle.,a baby he crying because is wants a bottle.
10244,neutral,a baby boy in overalls is crying.,a baby boy is crying because he hasn't eaten.,baby boy is crying because he hasn't eaten.
10245,contradiction,a baby boy in overalls is crying.,the baby boy is happy.,the baby is happy.
10246,neutral,a baby boy in overalls is crying.,the baby boy wants his mother.,the child boy wants his mother.
10247,entailment,a baby boy in overalls is crying.,a baby is crying.,a baby is live crying.
10248,entailment,a baby boy in overalls is crying.,an infant is crying.,an infant crying.
10249,neutral,a baby boy in overalls is crying.,a baby is crying because he is hungry.,a baby is crying because he is amp hungry.
10250,entailment,a baby boy in overalls is crying.,a boy is crying,boy is crying
10251,contradiction,a baby boy in overalls is crying.,a baby boy is happy to see his mother.,A a baby boy is happy to see his mother.
10252,entailment,a baby boy in overalls is crying.,a baby is crying.,a baby is.
10253,entailment,a baby boy in overalls is crying.,there is a sad baby boy.,baby is a sad there boy.
10254,contradiction,a baby boy in overalls is crying.,a baby is dancing on a table.,a baby is dancing on table a.
10255,contradiction,a baby boy in overalls is crying.,a baby is napping.,a mollycoddle is napping.
10256,contradiction,a barefoot boy is crying.,the child is a girl.,the nipper is a girl.
10257,neutral,a barefoot boy is crying.,the boy is hurt.,the boy is injury.
10258,neutral,a little boy in overalls crying.,the boy dropped his ice cream.,his boy dropped the ice cream.
10259,entailment,a barefoot boy is crying.,the boy is not wearing shoes.,the boy is not non wearing shoes.
10260,entailment,a little boy in overalls crying.,the little boy is upset.,the little boy is.
10261,entailment,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,the dog is getting his orange toy from the pool.,dog is getting his orange toy from pool.
10262,contradiction,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,a dog ignores a thrown orange toy in his attempt to go swimming in a cool pool.,a dog cool a thrown orange toy in his attempt a go swimming in to ignores pool.
10263,entailment,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,the dog leaps into the water to retrieve his toy.,dog leaps into the water to retrieve his.
10264,neutral,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,the dog is in the lake.,the trail is in the lake.
10265,entailment,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,a dog jumping into the water.,dog jumping into the water.
10266,entailment,a dog takes a leap of faith as he jumps into a pool to grab an orange toy.,a dog jumps into a pool of water to get a toy,a dog jumps into a pond pool of water to get a toy
