,label,original,hypothesis,modified
8030,entailment,"a man on a skateboard waits at the corner of a city street, with an overpass in the background.",man on skateboard,man on skateboard
8031,entailment,the horses are in a straight line.,there are multiple horses.,there are multiple horses.
8032,entailment,a line of horses walks on a road as a car sits to the side with the hood and trunk open.,there are animals are outside.,there are animals are outside.
8033,neutral,a line of horses walks on a road as a car sits to the side with the hood and trunk open.,an amish family in a carriage pass by a car who is broken down.,an amish family in a carriage pass by a car who's broken down.
8034,neutral,the horses are in a straight line.,there are three horses in a line.,there are six horses in a line.
8035,contradiction,the horses are in a straight line.,there is one horse standing alone.,there's one horse standing alone.
8036,contradiction,a line of horses is walking down a road past a broken-down car.,not watched at alll,not watched at alll
8037,neutral,a line of saddled horses walks down the street past a car that has its hood and trunk open.,the man peered out from under the hood of his car as the impressive line of saddled horses walked down the street beside him.,the man peered out from under the hood of his car as the impressive line of saddled horses walked down the street beside him.
8038,entailment,a line of saddled horses walks down the street past a car that has its hood and trunk open.,horses walked down the street past a parked car.,horses walked down the street past a parked car.
8039,contradiction,a line of saddled horses walks down the street past a car that has its hood and trunk open.,"a herd of wild horses circled around the old junk car stuck in the middle of the field, as if indians rode them primed for a scalping.","a herd of wild horses circled around the old junk car stuck in the middle of the field, as if indians rode them primed for a scalping."
8040,contradiction,people riding horses down the street.,people riding camels down a street.,people riding camels down a street.
8041,neutral,people riding horses down the street.,people riding horses down a busy street.,people riding horses down a busy street.
8042,entailment,people riding horses down the street.,people on horses.,people on horses.
8043,neutral,a line of horses is walking down a road past a broken-down car.,the grass was green,the grass was green
8044,entailment,a line of horses is walking down a road past a broken-down car.,a bird was on rocks,a bird was on rocks
8045,contradiction,a line of horses walks on a road as a car sits to the side with the hood and trunk open.,a car drives by horses grazing in a field on the side of the road.,a car drives by horses grazing in a field on the side of the road.
8046,neutral,a girl sits outside at a large fountain.,a girl sits outside eating ice cream,a girl sits outside eating ice cream
8047,contradiction,a girl sits outside at a large fountain.,a girl is standing in a large fountain.,a girl is standing in a large fountain.
8048,contradiction,a girl sits outside at a large fountain.,a boy sits alone at a large fountain,a boy sits alone at a large fountain
8049,contradiction,a girl sits outside at a large fountain.,a boys sits outside at a small fountain.,a boys sits outside at a small fountain.
8050,neutral,a girl sits outside at a large fountain.,"a girl is sitting at the fountain, making a wish.","a girl is sitting at the fountain, making a wish."
8051,neutral,a girl sits outside at a large fountain.,a child sits outside at a large fountain.,a child sits outside at a large fountain.
8052,contradiction,a girl sits outside at a large fountain.,nobody is around.,nobody is around.
8053,entailment,a girl sits outside at a large fountain.,there is a person outdoors,there's a person outdoors
8054,neutral,a girl sits outside at a large fountain.,there is a girl in a white sweater outside.,there's a girl in a white sweater outside.
8055,entailment,a woman and two others are sitting nearby a decorative water fountain.,a woman sits next to a fountain.,a woman sits next to a fountain.
8056,neutral,a woman and two others are sitting nearby a decorative water fountain.,a woman and others are sitting next to a water fountain while throwing change in.,a woman and others are sitting next to a water fountain while throwing change in.
8057,contradiction,a woman and two others are sitting nearby a decorative water fountain.,a woman and two others are sitting inside a water fountain.,a woman and two others are sitting inside a water fountain.
8058,contradiction,a woman sits on a wall next to a large conical fountain.,the woman is reading a book at home in her bedroom,the woman is reading a book at home in her bedroom
8059,entailment,a woman sits on a wall next to a large conical fountain.,a woman sits next to a fountain,a woman sits next to a fountain
8060,neutral,a woman sits on a wall next to a large conical fountain.,the woman is getting light spray from the fountain,the woman is getting light spray from the fountain
8061,contradiction,a young woman sits near a fountain.,the woman is walling.,the woman is walling.
8062,neutral,a young woman sits near a fountain.,the woman throws a penny into the fountain.,the woman throws a penny into the fountain.
8063,neutral,woman in black poses near a pyramid fountain.,the woman is a tourist.,the woman is a tourist.
8064,contradiction,woman in black poses near a pyramid fountain.,the man is wearing black.,the man is wearing black.
8065,entailment,woman in black poses near a pyramid fountain.,the woman is wearing black.,the woman is wearing black.
8066,contradiction,a girl sits outside at a large fountain.,there is a boy watching tv in his living room.,there's a boy watching tv in his living room.
8067,entailment,a girl sits outside at a large fountain.,there is a person outside.,there's a person outside.
